HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
L0466,No Change,Tlso r fram soft ant pre cst,"Tlso, sagittal control, rigid posterior frame and flexible soft anterior apron with straps, closures and padding, restricts gross trunk motion in sagittal plane, produces intracavitary pressure to reduce load on intervertebral disks, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0467,No Change,Tlso r fram soft pre ots,"Tlso, sagittal control, rigid posterior frame and flexible soft anterior apron with straps, closures and padding, restricts gross trunk motion in sagittal plane, produces intracavitary pressure to reduce load on intervertebral disks, prefabricated, off-the-shelf",
L0468,No Change,Tlso rig fram pelvic pre cst,"Tlso, sagittal-coronal control, rigid posterior frame and flexible soft anterior apron with straps, closures and padding, extends from sacrococcygeal junction over scapulae, lateral strength provided by pelvic, thoracic, and lateral frame pieces, restricts gross trunk motion in sagittal, and coronal planes, produces intracavitary pressure to reduce load on intervertebral disks, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0469,No Change,Tlso rig fram pelvic pre ots,"Tlso, sagittal-coronal control, rigid posterior frame and flexible soft anterior apron with straps, closures and padding, extends from sacrococcygeal junction over scapulae, lateral strength provided by pelvic, thoracic, and lateral frame pieces, restricts gross trunk motion in sagittal and coronal planes, produces intracavitary pressure to reduce load on intervertebral disks, prefabricated, off-the-shelf",
L0470,No Change,Tlso rigid frame pre subclav,"Tlso, triplanar control, rigid posterior frame and flexible soft anterior apron with straps, closures and padding, extends from sacrococcygeal junction to scapula, lateral strength provided by pelvic, thoracic, and lateral frame pieces, rotational strength provided by subclavicular extensions, restricts gross trunk motion in sagittal, coronal, and transverse planes, provides intracavitary pressure to reduce load on the intervertebral disks, includes fitting and shaping the frame, prefabricated, includes fitting and adjustment",
L0472,No Change,Tlso rigid frame hyperex pre,"Tlso, triplanar control, hyperextension, rigid anterior and lateral frame extends from symphysis pubis to sternal notch with two anterior components (one pubic and one sternal), posterior and lateral pads with straps and closures, limits spinal flexion, restricts gross trunk motion in sagittal, coronal, and transverse planes, includes fitting and shaping the frame, prefabricated, includes fitting and adjustment",
L0480,No Change,Tlso rigid plastic custom fa,"Tlso, triplanar control, one piece rigid plastic shell without interface liner, with multiple straps and closures, posterior extends from sacrococcygeal junction and terminates just inferior to scapular spine, anterior extends from symphysis pubis to sternal notch, anterior or posterior opening, restricts gross trunk motion in sagittal, coronal, and transverse planes, includes a carved plaster or cad-cam model, custom fabricated",
L0482,No Change,Tlso rigid lined custom fab,"Tlso, triplanar control, one piece rigid plastic shell with interface liner, multiple straps and closures, posterior extends from sacrococcygeal junction and terminates just inferior to scapular spine, anterior extends from symphysis pubis to sternal notch, anterior or posterior opening, restricts gross trunk motion in sagittal, coronal, and transverse planes, includes a carved plaster or cad-cam model, custom fabricated",
L0484,No Change,Tlso rigid plastic cust fab,"Tlso, triplanar control, two piece rigid plastic shell without interface liner, with multiple straps and closures, posterior extends from sacrococcygeal junction and terminates just inferior to scapular spine, anterior extends from symphysis pubis to sternal notch, lateral strength is enhanced by overlapping plastic, restricts gross trunk motion in the sagittal, coronal, and transverse planes, includes a carved plaster or cad-cam model, custom fabricated",
L0486,No Change,Tlso rigidlined cust fab two,"Tlso, triplanar control, two piece rigid plastic shell with interface liner, multiple straps and closures, posterior extends from sacrococcygeal junction and terminates just inferior to scapular spine, anterior extends from symphysis pubis to sternal notch, lateral strength is enhanced by overlapping plastic, restricts gross trunk motion in the sagittal, coronal, and transverse planes, includes a carved plaster or cad-cam model, custom fabricated",
L0488,No Change,Tlso rigid lined pre one pie,"Tlso, triplanar control, one piece rigid plastic shell with interface liner, multiple straps and closures, posterior extends from sacrococcygeal junction and terminates just inferior to scapular spine, anterior extends from symphysis pubis to sternal notch, anterior or posterior opening, restricts gross trunk motion in sagittal, coronal, and transverse planes, prefabricated, includes fitting and adjustment",
L0490,No Change,Tlso rigid plastic pre one,"Tlso, sagittal-coronal control, one piece rigid plastic shell, with overlapping reinforced anterior, with multiple straps and closures, posterior extends from sacrococcygeal junction and terminates at or before the t-9 vertebra, anterior extends from symphysis pubis to xiphoid, anterior opening, restricts gross trunk motion in sagittal and coronal planes, prefabricated, includes fitting and adjustment",
L0491,No Change,Tlso 2 piece rigid shell,"Tlso, sagittal-coronal control, modular segmented spinal system, two rigid plastic shells, posterior extends from the sacrococcygeal junction and terminates just inferior to the scapular spine, anterior extends from the symphysis pubis to the xiphoid, soft liner, restricts gross trunk motion in the sagittal and coronal planes, lateral strength is provided by overlapping plastic and stabilizing closures, includes straps and closures, prefabricated, includes fitting and adjustment",
L0492,No Change,Tlso 3 piece rigid shell,"Tlso, sagittal-coronal control, modular segmented spinal system, three rigid plastic shells, posterior extends from the sacrococcygeal junction and terminates just inferior to the scapular spine, anterior extends from the symphysis pubis to the xiphoid, soft liner, restricts gross trunk motion in the sagittal and coronal planes, lateral strength is provided by overlapping plastic and stabilizing closures, includes straps and closures, prefabricated, includes fitting and adjustment",
L0621,No Change,Sio flex pelvic/sacr pre ots,"Sacroiliac orthosis, flexible, provides pelvic-sacral support, reduces motion about the sacroiliac joint, includes straps, closures, may include pendulous abdomen design, prefabricated, off-the-shelf",
L0622,No Change,Sio flex pelvisacral custom,"Sacroiliac orthosis, flexible, provides pelvic-sacral support, reduces motion about the sacroiliac joint, includes straps, closures, may include pendulous abdomen design, custom fabricated",
L0623,No Change,Sio rig pnl pelv/sac pre ots,"Sacroiliac orthosis, provides pelvic-sacral support, with rigid or semi-rigid panels over the sacrum and abdomen, reduces motion about the sacroiliac joint, includes straps, closures, may include pendulous abdomen design, prefabricated, off-the-shelf",
L0624,No Change,Sio panel custom,"Sacroiliac orthosis, provides pelvic-sacral support, with rigid or semi-rigid panels placed over the sacrum and abdomen, reduces motion about the sacroiliac joint, includes straps, closures, may include pendulous abdomen design, custom fabricated",
L0625,No Change,Lo flex l1-below l5 pre ots,"Lumbar orthosis, flexible, provides lumbar support, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include pendulous abdomen design, shoulder straps, stays, prefabricated, off-the-shelf",
L0626,No Change,Lo sag rig pnl stays pre cst,"Lumbar orthosis, sagittal control, with rigid posterior panel(s), posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, stays, shoulder straps, pendulous abdomen design, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0627,No Change,Lo sag ri an/pos pnl pre cst,"Lumbar orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0628,No Change,Lso flex no ri stays pre ots,"Lumbar-sacral orthosis, flexible, provides lumbo-sacral support, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include stays, shoulder straps, pendulous abdomen design, prefabricated, off-the-shelf",
L0629,No Change,Lso flex w/rigid stays cust,"Lumbar-sacral orthosis, flexible, provides lumbo-sacral support, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include stays, shoulder straps, pendulous abdomen design, custom fabricated",
L0630,No Change,Lso r post pnl sj-t9 pre cst,"Lumbar-sacral orthosis, sagittal control, with rigid posterior panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, stays, shoulder straps, pendulous abdomen design, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0631,No Change,Lso sag r an/pos pnl pre cst,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0632,No Change,Lso sag rigid frame cust,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, custom fabricated",
L0633,No Change,Lso sc r pos/lat pnl pre cst,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, stays, shoulder straps, pendulous abdomen design, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0634,No Change,Lso flexion control custom,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panel(s), produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, stays, shoulder straps, pendulous abdomen design, custom fabricated",
L0635,No Change,Lso sagit rigid panel prefab,"Lumbar-sacral orthosis, sagittal-coronal control, lumbar flexion, rigid posterior frame/panel(s), lateral articulating design to flex the lumbar spine, posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panel(s), produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, anterior panel, pendulous abdomen design, prefabricated, includes fitting and adjustment",
L0636,No Change,Lso sagittal rigid panel cus,"Lumbar sacral orthosis, sagittal-coronal control, lumbar flexion, rigid posterior frame/panels, lateral articulating design to flex the lumbar spine, posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, anterior panel, pendulous abdomen design, custom fabricated",
L0637,No Change,Lso sc r ant/pos pnl pre cst,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panels, posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0638,No Change,Lso sag-coronal panel custom,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panels, posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, custom fabricated",
L0639,No Change,Lso s/c shell/panel prefab,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, anterior extends from symphysis pubis to xyphoid, produces intracavitary pressure to reduce load on the intervertebral discs, overall strength is provided by overlapping rigid material and stabilizing closures, includes straps, closures, may include soft interface, pendulous abdomen design, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L0640,No Change,Lso s/c shell/panel custom,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, anterior extends from symphysis pubis to xyphoid, produces intracavitary pressure to reduce load on the intervertebral discs, overall strength is provided by overlapping rigid material and stabilizing closures, includes straps, closures, may include soft interface, pendulous abdomen design, custom fabricated",
L0641,No Change,Lo rig pos pnl l1-l5 pre ots,"Lumbar orthosis, sagittal control, with rigid posterior panel(s), posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, stays, shoulder straps, pendulous abdomen design, prefabricated, off-the-shelf",
L0642,No Change,Lo sag ri an/pos pnl pre ots,"Lumbar orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, prefabricated, off-the-shelf",
L0643,No Change,Lso sag ctr rigi pos pre ots,"Lumbar-sacral orthosis, sagittal control, with rigid posterior panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, stays, shoulder straps, pendulous abdomen design, prefabricated, off-the-shelf",
L0648,No Change,Lso sag r an/pos pnl pre ots,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, prefabricated, off-the-shelf",
L0649,No Change,Lso sc r pos/lat pnl pre ots,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, stays, shoulder straps, pendulous abdomen design, prefabricated, off-the-shelf",
L0650,No Change,Lso sc r ant/pos pnl pre ots,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panel(s), produces intracavitary pressure to reduce load on intervertebral discs, includes straps, closures, may include padding, shoulder straps, pendulous abdomen design, prefabricated, off-the-shelf",
L0651,No Change,Lso sag-co shell pnl pre ots,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, anterior extends from symphysis pubis to xyphoid, produces intracavitary pressure to reduce load on the intervertebral discs, overall strength is provided by overlapping rigid material and stabilizing closures, includes straps, closures, may include soft interface, pendulous abdomen design, prefabricated, off-the-shelf",
L0700,No Change,Ctlso a-p-l control molded,"Cervical-thoracic-lumbar-sacral-orthoses (ctlso), anterior-posterior-lateral control, molded to patient model, (minerva type)",
L0710,No Change,Ctlso a-p-l control w/ inter,"Ctlso, anterior-posterior-lateral-control, molded to patient model, with interface material, (minerva type)",
L0810,No Change,Halo cervical into jckt vest,"Halo procedure, cervical halo incorporated into jacket vest",
L0820,No Change,Halo cervical into body jack,"Halo procedure, cervical halo incorporated into plaster body jacket",
L0830,No Change,Halo cerv into milwaukee typ,"Halo procedure, cervical halo incorporated into milwaukee type orthosis",
L0859,No Change,Mri compatible system,"Addition to halo procedure, magnetic resonance image compatible systems, rings and pins, any material",
L0861,No Change,Halo repl liner/interface,"Addition to halo procedure, replacement liner/interface material",
L0970,No Change,Tlso corset front,"Tlso, corset front",
L0972,No Change,Lso corset front,"Lso, corset front",
L0974,No Change,Tlso full corset,"Tlso, full corset",
L0976,No Change,Lso full corset,"Lso, full corset",
L0978,No Change,Axillary crutch extension,Axillary crutch extension,
L0980,No Change,Peroneal straps pair pre ots,"Peroneal straps, prefabricated, off-the-shelf, pair",
L0982,No Change,Stocking sup grips 4 pre ots,"Stocking supporter grips, prefabricated, off-the-shelf, set of four (4)",
L0984,No Change,Protect body sock ea pre ots,"Protective body sock, prefabricated, off-the-shelf, each",
L0999,No Change,Add to spinal orthosis nos,"Addition to spinal orthosis, not otherwise specified",
L1000,No Change,Ctlso milwauke initial model,"Cervical-thoracic-lumbar-sacral orthosis (ctlso) (milwaukee), inclusive of furnishing initial orthosis, including model",
L1001,No Change,Ctlso infant immobilizer,"Cervical thoracic lumbar sacral orthosis, immobilizer, infant size, prefabricated, includes fitting and adjustment",
L1005,No Change,Tension based scoliosis orth,"Tension based scoliosis orthosis and accessory pads, includes fitting and adjustment",
L1010,No Change,Ctlso axilla sling,"Addition to cervical-thoracic-lumbar-sacral orthosis (ctlso) or scoliosis orthosis, axilla sling",
L1020,No Change,Kyphosis pad,"Addition to ctlso or scoliosis orthosis, kyphosis pad",
L1025,No Change,Kyphosis pad floating,"Addition to ctlso or scoliosis orthosis, kyphosis pad, floating",
L1030,No Change,Lumbar bolster pad,"Addition to ctlso or scoliosis orthosis, lumbar bolster pad",
L1040,No Change,Lumbar or lumbar rib pad,"Addition to ctlso or scoliosis orthosis, lumbar or lumbar rib pad",
L1050,No Change,Sternal pad,"Addition to ctlso or scoliosis orthosis, sternal pad",
L1060,No Change,Thoracic pad,"Addition to ctlso or scoliosis orthosis, thoracic pad",
L1070,No Change,Trapezius sling,"Addition to ctlso or scoliosis orthosis, trapezius sling",
L1080,No Change,Outrigger,"Addition to ctlso or scoliosis orthosis, outrigger",
L1085,No Change,Outrigger bil w/ vert extens,"Addition to ctlso or scoliosis orthosis, outrigger, bilateral with vertical extensions",
L1090,No Change,Lumbar sling,"Addition to ctlso or scoliosis orthosis, lumbar sling",
L1100,No Change,Ring flange plastic/leather,"Addition to ctlso or scoliosis orthosis, ring flange, plastic or leather",
L1110,No Change,Ring flange plas/leather mol,"Addition to ctlso or scoliosis orthosis, ring flange, plastic or leather, molded to patient model",
L1120,No Change,Covers for upright each,"Addition to ctlso, scoliosis orthosis, cover for upright, each",
L1200,No Change,Furnsh initial orthosis only,"Thoracic-lumbar-sacral-orthosis (tlso), inclusive of furnishing initial orthosis only",
L1210,No Change,Lateral thoracic extension,"Addition to tlso, (low profile), lateral thoracic extension",
L1220,No Change,Anterior thoracic extension,"Addition to tlso, (low profile), anterior thoracic extension",
L1230,No Change,Milwaukee type superstructur,"Addition to tlso, (low profile), milwaukee type superstructure",
L1240,No Change,Lumbar derotation pad,"Addition to tlso, (low profile), lumbar derotation pad",
L1250,No Change,Anterior asis pad,"Addition to tlso, (low profile), anterior asis pad",
L1260,No Change,Anterior thoracic derotation,"Addition to tlso, (low profile), anterior thoracic derotation pad",
L1270,No Change,Abdominal pad,"Addition to tlso, (low profile), abdominal pad",
L1280,No Change,Rib gusset (elastic) each,"Addition to tlso, (low profile), rib gusset (elastic), each",
L1290,No Change,Lateral trochanteric pad,"Addition to tlso, (low profile), lateral trochanteric pad",
L1300,No Change,Body jacket mold to patient,"Other scoliosis procedure, body jacket molded to patient model",
L1310,No Change,Post-operative body jacket,"Other scoliosis procedure, post-operative body jacket",
L1499,No Change,Spinal orthosis nos,"Spinal orthosis, not otherwise specified",
L1600,No Change,Ho flex frejka w/cov pre cst,"Hip orthosis, abduction control of hip joints, flexible, frejka type with cover, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an inidividual with expertise",
L1610,No Change,Ho frejka cov only pre cst,"Hip orthosis, abduction control of hip joints, flexible, (frejka cover only), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L1620,No Change,Ho flex pavlik harns pre cst,"Hip orthosis, abduction control of hip joints, flexible, (pavlik harness), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L1630,No Change,Abduct control hip semi-flex,"Hip orthosis, abduction control of hip joints, semi-flexible (von rosen type), custom fabricated",
L1640,No Change,Pelv band/spread bar thigh c,"Hip orthosis, abduction control of hip joints, static, pelvic band or spreader bar, thigh cuffs, custom fabricated",
L1650,No Change,Ho abduction hip adjustable,"Hip orthosis, abduction control of hip joints, static, adjustable, (ilfled type), prefabricated, includes fitting and adjustment",
L1652,No Change,Ho bi thighcuffs w sprdr bar,"Hip orthosis, bilateral thigh cuffs with adjustable abductor spreader bar, adult size, prefabricated, includes fitting and adjustment, any type",
L1660,No Change,Ho abduction static plastic,"Hip orthosis, abduction control of hip joints, static, plastic, prefabricated, includes fitting and adjustment",
L1680,No Change,Pelvic & hip control thigh c,"Hip orthosis, abduction control of hip joints, dynamic, pelvic control, adjustable hip motion control, thigh cuffs (rancho hip action type), custom fabricated",
L1685,No Change,Post-op hip abduct custom fa,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, custom fabricated",
L1686,No Change,Ho post-op hip abduction,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, prefabricated, includes fitting and adjustment",
L1690,No Change,Combination bilateral ho,"Combination, bilateral, lumbo-sacral, hip, femur orthosis providing adduction and internal rotation control, prefabricated, includes fitting and adjustment",
L1700,No Change,Leg perthes orth toronto typ,"Legg perthes orthosis, (toronto type), custom fabricated",
L1710,No Change,Legg perthes orth newington,"Legg perthes orthosis, (newington type), custom fabricated",
L1720,No Change,Legg perthes orthosis trilat,"Legg perthes orthosis, trilateral, (tachdijan type), custom fabricated",
L1730,No Change,Legg perthes orth scottish r,"Legg perthes orthosis, (scottish rite type), custom fabricated",
L1755,No Change,Legg perthes patten bottom t,"Legg perthes orthosis, (patten bottom type), custom fabricated",
L1810,No Change,Ko elastic with joints,"Knee orthosis, elastic with joints, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L1812,No Change,Ko elastic w/joints pre ots,"Knee orthosis, elastic with joints, prefabricated, off-the-shelf",
L1820,No Change,Ko elas w/ condyle pads & jo,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, includes fitting and adjustment",
L1830,No Change,Ko immob canvas long pre ots,"Knee orthosis, immobilizer, canvas longitudinal, prefabricated, off-the-shelf",
L1831,No Change,Knee orth pos locking joint,"Knee orthosis, locking knee joint(s), positional orthosis, prefabricated, includes fitting and adjustment",
L1832,No Change,Ko adj jnt pos r sup pre cst,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L1833,No Change,Ko adj jnt pos r sup pre ots,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf",
L1834,No Change,Ko w/0 joint rigid molded to,"Knee orthosis, without knee joint, rigid, custom fabricated",
L1836,No Change,Ko rigid w/o joints pre ots,"Knee orthosis, rigid, without joint(s), includes soft interface material, prefabricated, off-the-shelf",
L1840,No Change,Ko derot ant cruciate custom,"Knee orthosis, derotation, medial-lateral, anterior cruciate ligament, custom fabricated",
L1843,No Change,Ko single upright pre cst,"Knee orthosis, single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L1844,No Change,Ko w/adj jt rot cntrl molded,"Knee orthosis, single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, custom fabricated",
L1845,No Change,Ko double upright pre cst,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L1846,No Change,Ko w adj flex/ext rotat mold,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, custom fabricated",
L1847,No Change,Ko dbl upright w/air pre cst,"Knee orthosis, double upright with adjustable joint, with inflatable air support chamber(s), prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",
L1848,No Change,Ko dbl upright w/air pre ots,"Knee orthosis, double upright with adjustable joint, with inflatable air support chamber(s), prefabricated, off-the-shelf",
L1850,No Change,Ko swedish type pre ots,"Knee orthosis, swedish type, prefabricated, off-the-shelf",
L1851,No Change,Ko single upright prefab ots,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",
L1852,No Change,Ko double upright prefab ots,"Knee orthosis (ko), double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",
L1860,No Change,Ko supracondylar socket mold,"Knee orthosis, modification of supracondylar prosthetic socket, custom fabricated (sk)",
L1900,No Change,Afo sprng wir drsflx calf bd,"Ankle foot orthosis, spring wire, dorsiflexion assist calf band, custom fabricated",
L1902,No Change,Afo ankle gauntlet pre ots,"Ankle orthosis, ankle gauntlet or similar, with or without joints, prefabricated, off-the-shelf",
L1904,No Change,Afo molded ankle gauntlet,"Ankle orthosis, ankle gauntlet or similar, with or without joints, custom fabricated",
L1906,No Change,Afo multilig ank sup pre ots,"Ankle foot orthosis, multiligamentous ankle support, prefabricated, off-the-shelf",
L1907,No Change,Afo supramalleolar custom,"Ankle orthosis, supramalleolar with straps, with or without interface/pads, custom fabricated",
L1910,No Change,Afo sing bar clasp attach sh,"Ankle foot orthosis, posterior, single bar, clasp attachment to shoe counter, prefabricated, includes fitting and adjustment",
L1920,No Change,Afo sing upright w/ adjust s,"Ankle foot orthosis, single upright with static or adjustable stop (phelps or perlstein type), custom fabricated",
L1930,No Change,Afo plastic,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment",
L1932,No Change,Afo rig ant tib prefab tcf/=,"Afo, rigid anterior tibial section, total carbon fiber or equal material, prefabricated, includes fitting and adjustment",
L1940,No Change,Afo molded to patient plasti,"Ankle foot orthosis, plastic or other material, custom fabricated",
L1945,No Change,Afo molded plas rig ant tib,"Ankle foot orthosis, plastic, rigid anterior tibial section (floor reaction), custom fabricated",
L1950,No Change,Afo spiral molded to pt plas,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic, custom fabricated",
L1951,No Change,Afo spiral prefabricated,"Ankle foot orthosis, spiral, (institute of rehabilitative medicine type), plastic or other material, prefabricated, includes fitting and adjustment",
L1960,No Change,Afo pos solid ank plastic mo,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated",
L1970,No Change,Afo plastic molded w/ankle j,"Ankle foot orthosis, plastic with ankle joint, custom fabricated",
L1971,No Change,"Afo w/ankle joint, prefab","Ankle foot orthosis, plastic or other material with ankle joint, prefabricated, includes fitting and adjustment",
L1980,No Change,Afo sing solid stirrup calf,"Ankle foot orthosis, single upright free plantar dorsiflexion, solid stirrup, calf band/cuff (single bar 'bk' orthosis), custom fabricated",
L1990,No Change,Afo doub solid stirrup calf,"Ankle foot orthosis, double upright free plantar dorsiflexion, solid stirrup, calf band/cuff (double bar 'bk' orthosis), custom fabricated",
L2000,No Change,Kafo sing fre stirr thi/calf,"Knee ankle foot orthosis, single upright, free knee, free ankle, solid stirrup, thigh and calf bands/cuffs (single bar 'ak' orthosis), custom fabricated",
L2005,No Change,Kafo sng/dbl mechanical act,"Knee ankle foot orthosis, any material, single or double upright, stance control, automatic lock and swing phase release, any type activation, includes ankle joint, any type, custom fabricated",
L2006,ADD,Kaf sng/dbl swg/stn mcpr cus,"Knee ankle foot device, any material, single or double upright, swing and/or stance phase microprocessor control with adjustability, includes all components (e.g., sensors, batteries, charger), any type activation, with or without ankle joint(s), custom fabricated",
L2010,No Change,Kafo sng solid stirrup w/o j,"Knee ankle foot orthosis, single upright, free ankle, solid stirrup, thigh and calf bands/cuffs (single bar 'ak' orthosis), without knee joint, custom fabricated",
L2020,No Change,Kafo dbl solid stirrup band/,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and calf bands/cuffs (double bar 'ak' orthosis), custom fabricated",
L2030,No Change,Kafo dbl solid stirrup w/o j,"Knee ankle foot orthosis, double upright, free ankle, solid stirrup, thigh and calf bands/cuffs, (double bar 'ak' orthosis), without knee joint, custom fabricated",
